skill,skill_ID
iq,1149
os drivers,1638
multi threaded architecture,1478
analytical skills,100
fi ca,869
ibp,1067
apo,143
german language,932
solution oriented thinking,2219
mod security,1435
ant scripts,116
tools,2427
hana cloud portal,985
hana cloud platform ,984
jam,1170
video editing,2514
routing domains,1921
command of the english language,475
loadbalancer,1323
vlan’s,2539
network technologies,1510
systems,2332
switch,2319
router,1918
reverse proxy,1901
optier,1614
ca spectrum,324
predictive,1719
mathematical optimization,1360
agile methodologies,48
sap process integration,2031
sap mm,2024
peoplesoft,1669
fi,868
sap systems,2041
web based applications,2580
amazon cloudfront,76
amazon web services (aws),87
design thinking,709
computer programming,501
leonardo iot,1285
ldm,1269
pmi,1697
big data,250
cloudwatch,437
predictive analytics,1721
user management,2491
sap lt,2021
operating system,1609
self initiative,2105
code review for git,460
gerrit ,934
rasberry pi,1833
c ++,316
atlassian confluence,189
sensors,2119
jenkins git,1206
sprint,2258
gnu debugger,948
hpe,1032
moogsoft,1451
idoc,1072
rfc,1905
strategic thinking,2295
ngnix,1524
mercurial,1384
software development,2198
version control tools,2509
cloudformation,435
script,2065
database queries,666
jvm tuning,1230
elk,800
influxdb,1092
grafana,965
sap application interface framework ,1966
bol,264
aif,61
webui,2611
cds,348
modelling,1441
multimedia,1482
iam,1061
full stack development,915
oauth,1545
webdynpro,2604
application,148
configuration applications,510
bootstrapping,267
ar sa,163
mso fareast,1463
hybris commerce,1049
data hub,629
mso ansi,1461
mso bidi,1462
results driven,1897
performance optimization,1674
cp,562
sap hybris billing,2016
apache web servers,133
web protocols,2592
java applications,1178
logstash,1331
elasticsearch,799
multi threaded architecture synchronization mechanism,1479
main memory,1343
development methodologies,720
cloud stacks,430
continuous development,541
order2cash,1626
cloud technologies,432
containerization,528
ood,1588
architecture design,167
cloud based saas applications,396
front end,905
ide,1069
j2ee servlet container,1167
ariba commerce,172
prototype,1782
sparkml,2234
mxnet,1488
statistical modeling,2284
tensorflow,2379
machine,1338
portal,1705
design specifications,707
javascript frameworks,1197
message queue,1387
tomee,2425
rabbitmq,1830
zookeeper,2674
haproxy,997
caching,327
requirements gathering,1878
layer routing,1268
acceleration,16
write code,2634
sap hana enterprise cloud,2009
release management,1867
self development,2101
groovy,973
golang (go),955
google,957
a,7
qtp,1806
japanese language,1172
edi,792
blockchain,261
fiori design,880
scrum methodologies,2075
sap leonardo,2020
ds,772
sap business objects,1973
sap data services,1994
lenovo,1283
api’s,140
cloud development,400
yaas.,2669
test development frameworks,2390
restful web,1892
multi threaded processes,1480
db administration,676
hana modeling,990
object,1547
devops methodologies,728
test methodologies,2399
web application design,2571
interaction,1118
solution design,2216
virtual machine,2520
sap hana platform,2011
typescript,2445
apache yarn,134
query tuning,1821
high availability,1018
integrations,1112
networking technologies,1514
sap cloud platform integration,1985
process integration,1756
s4,1937
middleware,1422
sap cloud platform ,1984
soa,2174
pair programming,1653
lxc,1336
vmware bash,2543
akka.net,66
oo languages,1581
unikernel,2468
continuous delivery processes,539
container orchestration,524
rkt,1913
mesos,1385
memory,1378
testability,2404
flink,894
validation,2496
java stack,1191
li>\n,1290
<\,6
web ui,2602
sap cloud integration,1982
browser testing,279
backup,234
certificate,354
sql statements,2268
routing,1920
lvm,1335
korean,1248
routing protocols,1922
lld,1316
network analysis,1503
hld,1024
agile development methodologies,41
front end development,907
garbage collection,923
i,1057
loadrunner,1324
cpu,566
successfactors successfactors,2307
cloud based business execution,395
vm,2540
soc2,2180
open database connectivity,1593
self learner,2106
distributed computing,737
conflict management,513
critical thinking,574
tracing,2430
deployment automation,700
hashicorp terraform,998
test kitchen,2396
open source technologies,1599
ca automic release automation,323
cd pipeline,343
inspec,1105
infrastructure automation solutions,1101
automating build,208
vmware workstation,2548
oozie,1590
pal,1654
mining,1425
data pipelines,637
document,759
nosql db,1537
graph,967
result oriented,1894
data dictionary,624
cxml,614
hortonworks hadoop,1026
tez,2413
mapreduce2,1353
mdc,1372
hadoop clusters,980
apache nifi,127
multi datacenter,1473
mdc hadoop,1373
nifi,1525
flask,890
web frameworks,2587
ip networking,1140
dpp,768
fortify,901
dlc,751
appscan burp suite,161
oscp,1640
data privacy,638
source code review,2228
application security testing,156
application penetration tests,152
elastic search,798
jmx,1213
development,719
kibana,1241
app dynamics,146
visualization,2534
dbs,680
custom development,593
hana enterprise cloud,988
acd,22
sre,2272
pl/sql,1691
java application server administration,1177
fpm,903
bopf,268
s4/hana,1939
bitbucket,257
"calibri""",331
sfsf,2146
mso,1460
rest web services,1888
packet,1651
on,1574
xss,2666
emacs,802
code profiler,455
jruby,1218
client side ajax,383
vi,2512
pop,1704
csrf,587
thread synchronization,2419
lan sniffers,1260
scripting framework,2068
reliability,1869
flexibility,892
resourcefulness,1882
pocs,1702
java performance tuning,1189
web services description language,2598
xslt,2665
load balancing networking protocols,1319
continuous delivery pipeline,538
interfaces,1122
database upgrades,674
information security,1096
web systems,2600
relationship skills,1865
automated test cases,202
agile development process,44
servers,2136
computer security,503
agile development methodology,42
listening,1315
vba,2498
data extraction,626
integration testing,1110
apache pig,129
sap s4,2036
apj,141
amer,90
ml,1426
on rails,1577
robotic process automation,1915
process automation,1755
pki,1689
scp,2062
appdynamics,147
containerization technologies,529
concurrency,508
logging,1326
api management,138
brim,276
itsm processes,1163
network design,1505
tableau,2339
atlassian,188
ioc,1134
hibernate (java),1016
cache,326
orm frameworks,1636
cookies,550
model view controller,1438
ooad,1587
business process model and notation,307
execution plans,850
jee web application,1203
ibatis,1062
anti patterns,117
multi tenancy,1476
web containers,2582
maven plug ins,1365
gerrit,933
network security,1509
salt stack,1955
cluster management,441
cloud automation,393
vagrant (software),2495
slt,2166
presentation skills,1731
nmap,1528
javascript framework,1196
authentication mechanisms,194
web application servers,2573
software security,2207
ccoe,340
alm,73
visual communication,2528
data,618
quality code,1808
version control systems,2508
web ide,2588
block chain,260
hw,1043
li kb2,1287
data cleansing,622
orchestration,1625
ariba ixp,173
vault,2497
verbal,2501
cpq,565
bdd,246
atdd,187
cucumber,591
gitlab,942
yum,2671
tam,2341
reports,1876
time series,2423
b2b cloud,226
ms office applications,1457
ua,2447
sap gui,2001
agile software development methodologies,53
server,2122
task management,2344
mobile app,1429
s/4hana finance,1934
regression testing,1855
blackduck,258
whitesource,2614
palamida,1655
gtp,977
qm,1804
scrum methodology,2076
french language,904
badi,235
report programming,1875
bapi,238
authorizations,196
hudson,1038
qpa,1805
persistence,1682
meta data,1389
object model design,1549
integrity testing,1113
control systems,547
data modelling,635
quick learner,1825
ipv4,1147
palo alto,1656
f5 bigip,857
xsa,2662
prediction,1718
software framework,2203
organization,1627
configuration management tools,512
relational database management systems,1860
database management,663
salesforce,1953
relic,1872
"maintenance, repair, and operations",1345
couchbase,561
dell,696
bind,256
gpfs,961
dr,769
network topology,1511
amazon sqs,83
database replication,667
agile software engineering,54
quality management,1811
osi model,1644
app,144
sketch,2160
page layout,1652
problem,1745
public cloud infrastructure,1789
international financial reporting standards,1123
webgl,2606
nomad,1533
webservers,2609
research and development,1879
privacy,1737
s4h,1940
micro services,1398
messaging,1388
convergent charging,548
dita,746
markdown,1355
information architecture,1094
statistical processing,2285
data flow execution,627
image processing,1079
nosql database,1535
amazon kinesis,80
reactjs,1842
pro active,1738
mssql server,1464
sap bi tools,1971
technical architecture,2364
cloud analytics,388
data warehousing solutions,651
hana modeler,989
data acquisition,619
webintelligence,2607
sap hana modeling,2010
mapreduce,1352
management,1347
mcafee,1369
human resource management,1041
financial management,876
risk management,1912
nunit,1542
qa testing,1801
regression tests,1856
ui tests,2460
knockout.js,1243
enterprise javabeans,822
dita xml,748
data protection,640
raspberry pi,1834
robotics,1916
vr,2551
comptia security+,495
go lang,951
rgb,1906
deeplearning4j,692
theano,2416
big data frameworks,251
scikit learn,2059
torch,2429
multi terabyte datasets,1477
caffe,328
machine learning algorithms,1340
chatbots,361
wordpress,2629
firefox,885
browsers,280
google chrome,958
communicate in english,477
presentation communication,1729
technical design,2367
go (programming language),950
batch file,243
cloud architectures,392
detail oriented,713
bug tracking system,284
verbal communication skills,2505
packer,1650
server operating systems,2124
mesosphere,1386
ecc,787
sap data hub,1993
sdi,2080
clouds,436
hortonworks,1025
linux kernel,1308
open source cloud,1597
memcached,1377
do conceptual work,754
linux administration,1299
remedy,1873
spring boot,2246
cxf,613
rest libs,1886
spring mvc,2254
springmvc,2257
context sensitive help,535
delivery (commerce),694
storage architecture,2289
apache mesos,126
toolchain optimization,2426
cloud orchestration infrastructure,417
secure systems design,2088
sap hana sap hana,2012
iaas abstraction,1059
human resource management system,1042
big o notation,255
writing skills,2637
cloud devops,402
data driven,625
critical thinker,573
creative problem solver,568
sql programming,2264
javascript programming,1198
s4 hana,1938
artifactory,177
sap haas,2002
technical specifications,2372
jms,1212
jpa,1215
prometheus,1780
cfengine,358
scikit,2058
protractor,1785
browser,277
mozilla,1454
microsoft silverlight,1415
firebug,884
postman,1710
system,2326
vue.js,2554
frontend development,911
ux designers,2493
vxvm,2558
amdp,88
result driven,1893
flowcharts,897
sap cp,1990
p&i s,1648
lean development,1274
play,1695
react js,1839
invision,1133
self motivating,2112
osi layers,1643
language,1261
web application architectures,2570
oo programming,1582
unit,2469
gulp,978
grunt,975
sap fi,1998
flume,898
dita cms,747
collaborative,470
recovery,1845
amazon dynamodb,77
burp suite,293
appscan,160
av,217
hana xsa,995
jee web application development,1204
saas web,1949
jee web,1202
odata api,1564
debug,684
test case,2385
gatling,925
fc,865
performance test,1676
trex,2435
slack,2163
lean manufacturing,1277
neo,1497
dev ops,715
sap technologies,2042
sap analytics cloud,1964
swagger,2316
usability testing,2477
dast,617
zed attack proxy,2673
team building,2349
sap cloud connector,1981
e2e integration,782
scp ,2063
domain driven design,766
independent thinking,1089
dl,750
e learning solutions,778
ui texts,2461
ixiasoft,1164
customization,609
meta data model,1390
ui frameworks,2457
object model framework,1550
code quality,457
cpi,563
c4,321
network management,1506
hba,1000
backend development,231
scsi,2078
mockito,1434
qunit,1826
ap,119
ar,162
dockers,758
cloud application development,390
successfactors.com,2308
tenacity,2377
energy,813
database development,659
fiori ux,883
data governance,628
vulnerability testing,2556
deep learning frameworks,691
mathematical model,1359
eclipse ide,789
microservices architecture,1403
jetty,1208
execution,849
hana cloud integration,983
silk,2156
sql scripts,2266
keras,1237
pytorch,1797
mandarin chinese,1349
cdn,346
docker containerization,756
bash scripting,240
react native,1840
cx,612
relational database system,1861
spring hibernate,2252
spring reactor,2255
e.g. jquery,780
scrum framework,2074
service oriented architecture,2138
cd pipelines,344
user flows,2483
uis,2465
logic reasoning,1328
backend,230
netweaver pi,1501
content management system,534
cloud platform integration,421
as2,179
lob finance,1325
internet explorer,1125
esr,838
function modules,916
oo javascript,1580
jooq,1214
jersey,1207
ui technologies,2459
video streaming,2515
containerized,530
sap hana data modeling,2006
system integration testing,2331
knife,1242
alicloud,72
az,222
cloud ,387
self motivation,2113
cdns,347
xsjs,2664
gcih,928
ux design,2492
query optimizations,1819
server side java script,2128
data structure,646
pmo,1699
code analysis,450
container based virtualization technologies,523
delivery methodology,695
gigya,936
calliduscloud,332
coresystems,558
sap c4,1978
graphics,970
online analytical processing,1578
redux,1852
code refactoring,458
sap s4hana,2037
automation frameworks,211
incident management,1086
gradle,964
build tools,292
web automation,2577
bo,263
browser based user interfaces,278
bots,271
android studio,112
web ui development,2603
project delivery,1776
abap unit tests,11
computer literacy,499
functional programming,917
ssis,2275
linux distributions,1305
project,1774
no sql,1529
consul,519
idm,1071
basis,241
mdm,1374
sap solutions,2038
cloud erp,405
predictive analysis,1720
functional testing,919
sonarqube,2225
es6,835
problem solving skills,1752
written english,2650
visualizations,2535
multi cloud,1469
structured thinking,2300
hyperscalers,1052
sap c,1977
user guides,2484
alibaba cloud,71
amazon web services ,86
google cloud platform ,960
soap ui,2177
columnar database,473
continuous deployment,540
build processes,290
virtualization technologies,2524
intellij idea,1116
opentsdb,1606
gce,926
eks,797
azure kubernetes service (aks),223
crucible,579
spinnaker,2241
qe,1802
database testing,672
smartsheet,2168
flinto,895
visual design specifications,2530
learn quickly,1280
visual,2525
new relic,1519
scipy,2060
pandas,1657
develop,716
tests automation,2411
tuning queries,2442
teamcity,2358
jstl,1224
cloud environments,404
cloud iaas,410
authorization,195
restful apis,1890
management consulting,1348
database architecture,654
database architectures,655
dashboards,616
hpc,1031
view,2516
managed services,1346
oltp,1571
c++ debuggers,319
reactive programming,1841
go ,949
web controls,2583
safari,1951
s/4hana fiori,1935
cross browser javascript framework,577
openui5,1607
containerized applications,531
ms azure,1456
single page applications,2158
virtual machines,2521
opa5,1591
osgi,1641
issue tracking,1156
test automation framework,2381
api design,135
code design,452
mobile development,1431
consulting,521
software,2186
bug fixing,283
penetration testing,1666
nessus,1498
e learnings,779
accessibility,20
csm,585
problem analysis,1746
smb,2169
uikit,2464
build pipelines,289
microsoft access,1405
data correctness,623
concourse,507
micro service architecture,1395
api driven development,136
ali cloud,69
design thinking methodology,710
neural networks,1517
travis ci,2434
cloud management,413
ip packets,1141
text mining,2412
hana development,987
linkedin,1296
source code versioning,2230
web 2.0,2566
adobe creative suite,34
event processing,843
jasmine,1173
webpack,2608
dev,714
problem shooting,1749
creation,567
oo programming language,1583
thought leadership,2418
learn,1279
execution skills,851
facilitation,861
bcp,244
synchronization,2323
distributed systems,743
cloud virtualization,433
triggers,2437
ip communications,1139
k8s.,1233
cf,357
s/4 ux,1932
erp product s,833
spring security,2256
spring integration,2253
spring data,2250
spring core,2249
linux container,1303
graphql,971
cloud hcm,407
retail,1900
clean code,381
sap lumira,2022
edr,795
fast paced,863
gmp iaas,946
test automation tools,2384
saas web applications,1950
rpa,1923
full stack,914
flow diagrams,896
adb,31
checkmarx,363
cloud infrastructures,411
database modeling,664
devsecops,729
hyperscaler,1051
technical support,2373
abap webdynpro,12
code lhrs4262,453
sap web ide,2047
learning,1282
script languages,2066
accounting,21
transport layer security,2433
clojure,386
om,1572
express.js,852
session management,2142
ember.js,803
micro services architecture,1399
web apis,2568
integration technologies,1108
agility,58
kotlin,1249
feature implementation,866
pdlc,1664
app development,145
istio,1157
tensor flow,2378
jce,1200
extjs,854
ps,1787
pp,1715
bpm,273
selenium webdriver,2097
windows presentation foundation,2620
microsoft c#,1407
ttp,2441
gcia,927
workflow,2633
ad file system,29
registry,1853
agile environment,45
web proxy,2593
sast,2050
odata protocol,1565
cross browser compatibility,576
release,1866
javascript ,1194
analytic thinking,91
estimation,839
pdns,1665
grails,966
fico,870
executing test plans,847
lhrs4262,1286
cloudera,434
networking protocols,1512
bugzilla,285
web api,2567
visual studio code,2533
clm,385
innovative thinking,1104
stored procedure,2292
trigger,2436
sap hana cloud platform ,2005
karma runner,1235
test frameworks,2395
ui designs,2455
server side js,2129
hcp cloud foundry,1008
cross browser,575
